distrito,sector,uso_grupo,compatibilidad_desc,conteo
C4,C - Central,Industrial,Condicionada,2
C4,C - Central,Industrial,No permitida,25
C4,C - Central,Infraestructura,Compatible,4
C4,C - Central,Infraestructura,Condicionada,3
C4,C - Central,Infraestructura,No permitida,3
C5,C - Central,Agricola,No permitida,7
C5,C - Central,Comercio y servicios,Compatible,48
C5,C - Central,Comercio y servicios,Condicionada,17
C5,C - Central,Comercio y servicios,No permitida,29
C5,C - Central,Equipamiento,Compatible,42
C5,C - Central,Equipamiento,Condicionada,4
C5,C - Central,Equipamiento,No permitida,23
C5,C - Central,Habitacional,Compatible,10
C5,C - Central,Habitacional,No permitida,4
C5,C - Central,Industrial,Compatible,6
C5,C - Central,Industrial,Condicionada,2
C5,C - Central,Industrial,No permitida,25
C5,C - Central,Infraestructura,Compatible,4
C5,C - Central,Infraestructura,Condicionada,3
C5,C - Central,Infraestructura,No permitida,3
C6,C - Central,Agricola,No permitida,7
C6,C - Central,Comercio y servicios,Compatible,40
C6,C - Central,Comercio y servicios,Condicionada,17
C6,C - Central,Comercio y servicios,No permitida,37
C6,C - Central,Equipamiento,Compatible,23
C6,C - Central,Equipamiento,Condicionada,1
C6,C - Central,Equipamiento,No permitida,45
C6,C - Central,Habitacional,No permitida,14
C6,C - Central,Industrial,Compatible,6
C6,C - Central,Industrial,Condicionada,3
C6,C - Central,Industrial,No permitida,24
C6,C - Central,Infraestructura,Compatible,4
C6,C - Central,Infraestructura,Condicionada,3
C6,C - Central,Infraestructura,No permitida,3
C7,C - Central,Agricola,No permitida,7
C7,C - Central,Comercio y servicios,Compatible,49
C7,C - Central,Comercio y servicios,Condicionada,15
C7,C - Central,Comercio y servicios,No permitida,30
C7,C - Central,Equipamiento,Compatible,19
C7,C - Central,Equipamiento,Condicionada,2
C7,C - Central,Equipamiento,No permitida,48
C7,C - Central,Habitacional,Compatible,6
C7,C - Central,Habitacional,Condicionada,4
C7,C - Central,Habitacional,No permitida,4
C7,C - Central,Industrial,Compatible,5
C7,C - Central,Industrial,Condicionada,1
C7,C - Central,Industrial,No permitida,27
C7,C - Central,Infraestructura,Compatible,4
C7,C - Central,Infraestructura,Condicionada,3
C7,C - Central,Infraestructura,No permitida,3
C8,C - Central,Agricola,No permitida,7
C8,C - Central,Comercio y servicios,Compatible,36
C8,C - Central,Comercio y servicios,Condicionada,7
C8,C - Central,Comercio y servicios,No permitida,51
C8,C - Central,Equipamiento,Compatible,32
C8,C - Central,Equipamiento,Condicionada,1
C8,C - Central,Equipamiento,No permitida,36
C8,C - Central,Habitacional,Compatible,2
C8,C - Central,Habitacional,No permitida,12
C8,C - Central,Industrial,Compatible,6
C8,C - Central,Industrial,Condicionada,2
C8,C - Central,Industrial,No permitida,25
C8,C - Central,Infraestructura,Compatible,4
C8,C - Central,Infraestructura,Condicionada,3
C8,C - Central,Infraestructura,No permitida,3
C9,C - Central,Agricola,No permitida,7
C9,C - Central,Comercio y servicios,Compatible,45
C9,C - Central,Comercio y servicios,Condicionada,17
C9,C - Central,Comercio y servicios,No permitida,32
C9,C - Central,Equipamiento,Compatible,10
C9,C - Central,Equipamiento,Condicionada,1
C9,C - Central,Equipamiento,No permitida,58
C9,C - Central,Habitacional,Compatible,6
C9,C - Central,Habitacional,No permitida,8
C9,C - Central,Industrial,Compatible,6
C9,C - Central,Industrial,Condicionada,6
C9,C - Central,Industrial,No permitida,21
C9,C - Central,Infraestructura,Compatible,4
C9,C - Central,Infraestructura,Condicionada,3
C9,C - Central,Infraestructura,No permitida,3
D1,D - Independencia-Alamitos,Agricola,No permitida,7
D1,D - Independencia-Alamitos,Comercio y servicios,Compatible,71
D1,D - Independencia-Alamitos,Comercio y servicios,Condicionada,14
D1,D - Independencia-Alamitos,Comercio y servicios,No permitida,9
D1,D - Independencia-Alamitos,Equipamiento,Compatible,13
D1,D - Independencia-Alamitos,Equipamiento,Condicionada,5
D1,D - Independencia-Alamitos,Equipamiento,No permitida,51
D1,D - Independencia-Alamitos,Habitacional,Compatible,10
D1,D - Independencia-Alamitos,Habitacional,No permitida,4
D1,D - Independencia-Alamitos,Industrial,Compatible,7
D1,D - Independencia-Alamitos,Industrial,Condicionada,13
D1,D - Independencia-Alamitos,Industrial,No permitida,13
D1,D - Independencia-Alamitos,Infraestructura,Compatible,4
D1,D - Independencia-Alamitos,Infraestructura,Condicionada,4
D1,D - Independencia-Alamitos,Infraestructura,No permitida,2
D2,D - Independencia-Alamitos,Agricola,No permitida,7
D2,D - Independencia-Alamitos,Comercio y servicios,Compatible,55
D2,D - Independencia-Alamitos,Comercio y servicios,Condicionada,17
D2,D - Independencia-Alamitos,Comercio y servicios,No permitida,22
D2,D - Independencia-Alamitos,Equipamiento,Compatible,49
D2,D - Independencia-Alamitos,Equipamiento,Condicionada,3
D2,D - Independencia-Alamitos,Equipamiento,No permitida,17
D2,D - Independencia-Alamitos,Habitacional,Compatible,10
D2,D - Independencia-Alamitos,Habitacional,No permitida,4
D2,D - Independencia-Alamitos,Industrial,Compatible,2
D2,D - Independencia-Alamitos,Industrial,Condicionada,5
D2,D - Independencia-Alamitos,Industrial,No permitida,26
D2,D - Independencia-Alamitos,Infraestructura,Compatible,4
D2,D - Independencia-Alamitos,Infraestructura,Condicionada,3
D2,D - Independencia-Alamitos,Infraestructura,No permitida,3
D3,D - Independencia-Alamitos,Agricola,No permitida,7
D3,D - Independencia-Alamitos,Comercio y servicios,Compatible,55
D3,D - Independencia-Alamitos,Comercio y servicios,Condicionada,17
D3,D - Independencia-Alamitos,Comercio y servicios,No permitida,22
D3,D - Independencia-Alamitos,Equipamiento,Compatible,49
D3,D - Independencia-Alamitos,Equipamiento,Condicionada,3
D3,D - Independencia-Alamitos,Equipamiento,No permitida,17
D3,D - Independencia-Alamitos,Habitacional,Compatible,10
D3,D - Independencia-Alamitos,Habitacional,No permitida,4
D3,D - Independencia-Alamitos,Industrial,Compatible,2
D3,D - Independencia-Alamitos,Industrial,Condicionada,5
D3,D - Independencia-Alamitos,Industrial,No permitida,26
D3,D - Independencia-Alamitos,Infraestructura,Compatible,4
D3,D - Independencia-Alamitos,Infraestructura,Condicionada,3
D3,D - Independencia-Alamitos,Infraestructura,No permitida,3
D4,D - Independencia-Alamitos,Agricola,No permitida,7
D4,D - Independencia-Alamitos,Comercio y servicios,Compatible,61
D4,D - Independencia-Alamitos,Comercio y servicios,Condicionada,20
D4,D - Independencia-Alamitos,Comercio y servicios,No permitida,13
D4,D - Independencia-Alamitos,Equipamiento,Compatible,52
D4,D - Independencia-Alamitos,Equipamiento,Condicionada,4
D4,D - Independencia-Alamitos,Equipamiento,No permitida,13
D4,D - Independencia-Alamitos,Habitacional,Compatible,10
D4,D - Independencia-Alamitos,Habitacional,No permitida,4
D4,D - Independencia-Alamitos,Industrial,Compatible,9
D4,D - Independencia-Alamitos,Industrial,Condicionada,5
