nivel,seccion,pagina_pdf,uso_grupo,codigo_actividad,actividad,distrito,sector,compatibilidad,compatibilidad_desc,confianza_color,fuente,nota
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,E6,E - Cetys-Tecnologico,C,Compatible,188,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,E7,E - Cetys-Tecnologico,C,Compatible,173,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,F1,F - Abasolo,C,Compatible,173,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,F2,F - Abasolo,C,Compatible,192,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,F3,F - Abasolo,C,Compatible,173,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,F4,F - Abasolo,C,Compatible,175,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.2,Medio,F5,F - Abasolo,C,Compatible,173,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,A1,A - Santorales,,,0,matriz de compatibilidad del PDUCPM.pdf,Extraido por clasificacion de simbolos de color; revisar celdas vacias o confianza baja.
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,B1,B - Nacionalista-Orizaba,C,Compatible,143,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,B2,B - Nacionalista-Orizaba,C,Compatible,79,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,B3,B - Nacionalista-Orizaba,C,Compatible,100,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,B4,B - Nacionalista-Orizaba,C,Compatible,85,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,B5,B - Nacionalista-Orizaba,C,Compatible,85,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,B6,B - Nacionalista-Orizaba,C,Compatible,102,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,B7,B - Nacionalista-Orizaba,C,Compatible,100,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C1,C - Central,C,Compatible,96,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C2,C - Central,C,Compatible,109,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C3,C - Central,NP,No permitida,72,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C4,C - Central,COND,Condicionada,75,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C5,C - Central,C,Compatible,113,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C6,C - Central,NP,No permitida,81,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C7,C - Central,COND,Condicionada,73,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C8,C - Central,NP,No permitida,92,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C9,C - Central,NP,No permitida,83,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C10,C - Central,COND,Condicionada,87,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C11,C - Central,C,Compatible,145,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C12,C - Central,C,Compatible,143,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C13,C - Central,C,Compatible,147,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C14,C - Central,C,Compatible,143,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C15,C - Central,COND,Condicionada,93,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C16,C - Central,C,Compatible,158,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C17,C - Central,C,Compatible,158,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C18,C - Central,NP,No permitida,108,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C19,C - Central,C,Compatible,175,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C20,C - Central,C,Compatible,167,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C21,C - Central,NP,No permitida,102,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C22,C - Central,C,Compatible,171,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C23,C - Central,C,Compatible,169,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C24,C - Central,C,Compatible,167,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C25,C - Central,NP,No permitida,112,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,C26,C - Central,C,Compatible,173,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,D1,D - Independencia-Alamitos,C,Compatible,175,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,D2,D - Independencia-Alamitos,C,Compatible,188,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,D3,D - Independencia-Alamitos,C,Compatible,175,matriz de compatibilidad del PDUCPM.pdf,
