anio,zona,sector,subsector,homoclave_col_fracc,seccion,descripcion_col_fracc,valor_m2,codigo_zona_homogenea,zona_homogenea
2026,Z2,C,MXHA,AI,A,ANACLETO OROZCO,1890.0,MXHAAIA,MXHAAIA
2026,Z2,C,MXHA,AJ,A,JUSTO SIERRA AMPLIACIÓN,2025.0,MXHAAJA,MXHAAJA
2026,Z2,C,MXHA,AN,A,ANÁHUAC,3375.0,MXHAANA,MXHAANA
2026,Z2,C,MXHA,AU,A,AURORA,1755.0,MXHAAUA,MXHAAUA
2026,Z2,C,MXHA,BA,A,BARRIO ÁLAMO,2160.0,MXHABAA,MXHABAA
2026,Z2,C,MXHA,BP,A,BARRIO PASADINA,1080.0,MXHABPA,MXHABPA
2026,Z2,C,MXHA,BV,A,BELLA VISTA,1080.0,MXHABVA,MXHABVA
2026,Z2,C,MXHA,BW,A,BORDO WISTERIA,1620.0,MXHABWA,MXHABWA
2026,Z2,C,MXHA,CB,A,BURÓCRATA,4050.0,MXHACBA,MXHACBA
2026,Z2,C,MXHA,CE,A,ESPERANZA,2430.0,MXHACEA,MXHACEA
2026,Z2,C,MXHA,CG,A,GUAJARDO,2430.0,MXHACGA,MXHACGA
2026,Z2,C,MXHA,CL,A,LIBERTAD,3375.0,MXHACLA,MXHACLA
2026,Z2,C,MXHA,CU,A,CONSTITUYENTES DE B.CFA.,1890.0,MXHACUA,MXHACUA
2026,Z2,C,MXHA,CZ,A,ESPERANZA AGRÍCOLA,2430.0,MXHACZA,MXHACZA
2026,Z2,C,MXHA,DN,A,DIVISIÓN DEL NORTE,1620.0,MXHADNA,MXHADNA
2026,Z2,C,MXHA,DR,A,DEL RASTRO,1620.0,MXHADRA,MXHADRA
2026,Z2,C,MXHA,EF,A,EST. FERROCARRIL,1620.0,MXHAEFA,MXHAEFA
2026,Z2,C,MXHA,EZ,A,ZACATECAS EX-EJIDO URBANO,1620.0,MXHAEZA,MXHAEZA
2026,Z2,C,MXHA,FC,A,FERROCARRIL,2295.0,MXHAFCA,MXHAFCA
2026,Z2,C,MXHA,FE,A,EGUÍA,1080.0,MXHAFEA,MXHAFEA
2026,Z2,C,MXHA,FM,A,JARDINES DE SAN MARCOS,3780.0,MXHAFMA,MXHAFMA
2026,Z2,C,MXHA,FR,A,RESIDENCIAS 1/2,4725.0,MXHAFRA,MXHAFRA
2026,Z2,C,MXHA,FR,B,RESIDENCIAS 2/2,4725.0,MXHAFRB,MXHAFRB
2026,Z2,C,MXHA,FT,A,ESTEBAN CANTÚ,3375.0,MXHAFTA,MXHAFTA
2026,Z2,C,MXHA,FX,A,LAS FLORES 1/2,4050.0,MXHAFXA,MXHAFXA
2026,Z2,C,MXHA,FX,B,LAS FLORES 2/2,4725.0,MXHAFXB,MXHAFXB
2026,Z2,C,MXHA,FZ,A,ZACATECAS,1620.0,MXHAFZA,MXHAFZA
2026,Z2,C,MXHA,GF,A,DR. VALENTÍN GÓMEZ FARÍAS,2430.0,MXHAGFA,MXHAGFA
2026,Z2,C,MXHA,HC,A,CORELLA,1080.0,MXHAHCA,MXHAHCA
2026,Z2,C,MXHA,HG,A,MIGUEL HIDALGO,1620.0,MXHAHGA,MXHAHGA
2026,Z2,C,MXHA,HM,A,UNIDAD MONTE ALBÁN,2160.0,MXHAHMA,MXHAHMA
2026,Z2,C,MXHA,HN,A,HÉROE DE NACOZARI,3375.0,MXHAHNA,MXHAHNA
2026,Z2,C,MXHA,IC,A,CALAFIA,4725.0,MXHAICA,MXHAICA
2026,Z2,C,MXHA,IT,A,CALISSS,4725.0,MXHAITA,MXHAITA
2026,Z2,C,MXHA,IW,A,INSURGENTES OESTE,5400.0,MXHAIWA,MXHAIWA
2026,Z2,C,MXHA,JA,A,AMPLIACIÓN JARDINES DEL LAGO,5400.0,MXHAJAA,MXHAJAA
2026,Z2,C,MXHA,JB,A,JABONERA,2160.0,MXHAJBA,MXHAJBA
2026,Z2,C,MXHA,JL,A,JARDINES DEL LAGO 1/2 (SECCIÓN BOSQUES),5400.0,MXHAJLA,MXHAJLA
2026,Z2,C,MXHA,JL,B,JARDINES DEL LAGO 2/2 (SECCIÓN ISLAS),4050.0,MXHAJLB,MXHAJLB
2026,Z2,C,MXHA,JM,A,JOSUÉ MOLINA,3375.0,MXHAJMA,MXHAJMA
2026,Z2,C,MXHA,JS,A,JUSTO SIERRA,8775.0,MXHAJSA,MXHAJSA
2026,Z2,C,MXHA,KI,A,IRRIGACIÓN,3375.0,MXHAKIA,MXHAKIA
2026,Z2,C,MXHA,LG,A,AGUALEGUAS,810.0,MXHALGA,MXHALGA
2026,Z2,C,MXHA,LL,A,LOMA LINDA,1620.0,MXHALLA,MXHALLA
2026,Z2,C,MXHA,LM,A,ADOLFO LÓPEZ MATEOS,3375.0,MXHALMA,MXHALMA
2026,Z2,C,MXHA,MI,A,SANTA MÓNICA,4050.0,MXHAMIA,MXHAMIA
2026,Z2,C,MXHA,ML,A,MORELOS,1620.0,MXHAMLA,MXHAMLA
2026,Z2,C,MXHA,MU,A,SANTA CECILIA,2430.0,MXHAMUA,MXHAMUA
2026,Z2,C,MXHA,NE,A,NUEVA ESPERANZA,2430.0,MXHANEA,MXHANEA
2026,Z2,C,MXHA,NV,A,NUEVA 1/2,7425.0,MXHANVA,MXHANVA
2026,Z2,C,MXHA,NV,B,NUEVA 2/2,5400.0,MXHANVB,MXHANVB
2026,Z2,C,MXHA,PE,A,PROFESORES ESTATALES,4725.0,MXHAPEA,MXHAPEA
2026,Z2,C,MXHA,PG,A,PÁPAGO,1890.0,MXHAPGA,MXHAPGA
2026,Z2,C,MXHA,PL,A,LAS PALMAS,3780.0,MXHAPLA,MXHAPLA
2026,Z2,C,MXHA,PN,A,PUEBLO NUEVO,2025.0,MXHAPNA,MXHAPNA
2026,Z2,C,MXHA,PT,A,PARCELA 36,1620.0,MXHAPTA,MXHAPTA
2026,Z2,C,MXHA,QT,A,VILLA MEDITERRÁNEA 1/2,4050.0,MXHAQTA,MXHAQTA
2026,Z2,C,MXHA,QT,B,VILLA MEDITERRÁNEA 2/2,2835.0,MXHAQTB,MXHAQTB
2026,Z2,C,MXHA,RA,A,RESIDENCIAL LOS ARCOS,5400.0,MXHARAA,MXHARAA
2026,Z2,C,MXHA,RN,A,RÍO NUEVO,2295.0,MXHARNA,MXHARNA
2026,Z2,C,MXHA,RR,A,RESIDENCIAL REFORMA,4725.0,MXHARRA,MXHARRA
2026,Z2,C,MXHA,SI,A,SAN ISIDRO,1080.0,MXHASIA,MXHASIA
2026,Z2,C,MXHA,SN,A,6 DE ENERO,3375.0,MXHASNA,MXHASNA
2026,Z2,C,MXHA,SS,A,SEGUNDA SECCIÓN 1/2,7425.0,MXHASSA,MXHASSA
2026,Z2,C,MXHA,SS,B,SEGUNDA SECCIÓN 2/2,5400.0,MXHASSB,MXHASSB
2026,Z2,C,MXHA,TP,A,CERRADA DEL PARQUE,4725.0,MXHATPA,MXHATPA
2026,Z2,C,MXHA,TV,A,TELEVISORA 1/2,1620.0,MXHATVA,MXHATVA
2026,Z2,C,MXHA,UC,A,CUCAPAH,2160.0,MXHAUCA,MXHAUCA
2026,Z2,C,MXHA,UE,A,CONJUNTO URBANO ESPERANZA,2700.0,MXHAUEA,MXHAUEA
2026,Z2,C,MXHA,UJ,A,UNIDAD JUSTO SIERRA,2025.0,MXHAUJA,MXHAUJA
2026,Z2,C,MXHA,VF,A,VILLAFONTANA 1/2,5400.0,MXHAVFA,MXHAVFA
2026,Z2,C,MXHA,VF,B,VILLAFONTANA 2/2,4725.0,MXHAVFB,MXHAVFB
2026,Z2,C,MXHA,VI,A,VILLANOVA 2/3,5400.0,MXHAVIA,MXHAVIA
2026,Z2,C,MXHA,VI,B,VILLANOVA 3/3,2970.0,MXHAVIB,MXHAVIB
2026,Z2,C,MXHA,VI,C,VILLANOVA 1/3,6075.0,MXHAVIC,MXHAVIC
2026,Z2,C,MXHA,VK,A,VILLAS CALIFORNIA,4050.0,MXHAVKA,MXHAVKA
2026,Z2,C,MXHA,VQ,A,EL VIDRIO,810.0,MXHAVQA,MXHAVQA
2026,Z2,C,MXHA,VS,A,VILLA DEL SOL,2430.0,MXHAVSA,MXHAVSA
2026,Z2,C,MXHA,WR,A,PARCELA 62,2700.0,MXHAWRA,MXHAWRA
2026,Z2,C,MXHA,XO,A,XOCHIMILCO,1080.0,MXHAXOA,MXHAXOA
2026,Z2,C,MXHA,ZA,A,ZACATECAS II,1620.0,MXHAZAA,MXHAZAA
2026,Z2,C,MXHA,ZO,A,FRANCISCO ZARCO,1620.0,MXHAZOA,MXHAZOA
2026,Z2,C,MXHB,BVN,A,CONDOMINIOS VILLANOVA,2970.0,MXHBBVNA,MXHBBVNA
2026,Z2,C,MXHB,DN,A,PARCELA 64,1620.0,MXHBDNA,MXHBDNA
2026,Z2,C,MPC0,02,A,PLAZA COMERCIAL CACHANILLA,6300.0,MPC002A,MPC002A
2026,Z2,C,MPC0,01,A,PLAZA LA CACHANILLA,6300.0,MPC001A,MPC001A
2026,Z2,C,MPC0,10,A,C.C. MUNDO DIVERTIDO,6020.0,MPC010A,MPC010A
2026,Z2,C,MPC0,18,A,PLAZA FIMBRES,8820.0,MPC018A,MPC018A
2026,Z2,C,MPC0,24,A,C.C. CABALLITO,6300.0,MPC024A,MPC024A
2026,Z2,C,MPC0,28,A,C.C. PLAZA BAJA CALIFORNIA,6020.0,MPC028A,MPC028A
2026,Z2,C,MPC0,29,A,C.C. PLAZA FIESTA,6020.0,MPC029A,MPC029A
2026,Z2,C,MPC0,31,A,C.C. ABSA (BLVD. LÓPEZ MATEOS),4200.0,MPC031A,MPC031A
2026,Z2,C,MPC0,32,A,C.C. PLAZA MANDARÍN,4900.0,MPC032A,MPC032A
2026,Z2,C,MPC0,33,A,C.C. VILLAFONTANA,6300.0,MPC033A,MPC033A
2026,Z2,C,MPC0,35,A,CENTRO CÍVICO Y COMERCIAL 1/2,5600.0,MPC035A,MPC035A
2026,Z2,C,MPC0,36,A,CENTRO COMERCIAL VILLANOVA,6440.0,MPC036A,MPC036A
2026,Z2,C,MPC0,41,A,WAL MART – SAMS,6440.0,MPC041A,MPC041A
2026,Z2,C,MPC0,44,A,C.C. BAJA,5320.0,MPC044A,MPC044A
2026,Z2,C,MPC0,63,A,CENTRO CÍVICO Y COMERCIAL 2/2,3920.0,MPC063A,MPC063A
2026,Z2,C,MPC0,76,A,PLAZA CIMARRÓN,6580.0,MPC076A,MPC076A
2026,Z2,C,MPC0,97,A,CENTRO HISTÓRICO Y COMERCIAL 1/2,3360.0,MPC097A,MPC097A
2026,Z2,C,MPC0,97,B,CENTRO HISTÓRICO Y COMERCIAL 2/2,2800.0,MPC097B,MPC097B
2026,Z2,C,MCC0,05,A,CALZ. FCO. L. MONTEJANO -DE CALZ. BENITO JUAEZ A CALZ. INDEPENDENCIA,7000.0,MCC005A,MCC005A
2026,Z2,C,MCC0,06,A,CALZ. ADOLFO LÓPEZ MATEOS - LÍNEA INTERNACIONAL A CALZADA JAMES W. STONE,4900.0,MCC006A,MCC006A
2026,Z2,C,MCC0,06,B,CALZ. ADOLFO LÓPEZ MATEOS - DE JAMES W. STONE A CALLE CALAFIA,5880.0,MCC006B,MCC006B
2026,Z2,C,MCC0,10,A,"AVE. ZARAGOZA - DE CALLE ""E"" A CALZ. JUSTO SIERRA",7000.0,MCC010A,MCC010A
2026,Z2,C,MCC0,11,A,CALZ. GRAL. LÁZARO CÁRDENAS -DE CALZ. ANAHUAC A CALZ. ADOLFO LÓPEZ MATEOS,6300.0,MCC011A,MCC011A
2026,Z2,C,MCC0,11,B,CALZ. GRAL. LÁZARO CÁRDENAS -DE CALZ. ADOLFO LÓPEZ MATEOS A CALZ. LIC. BENITO JUAREZ,5040.0,MCC011B,MCC011B
2026,Z2,C,MCC0,13,A,CALZ. ANÁHUAC -DE CALZ. ADOLFO LÓPEZ MATEOS A CALZ. DE LOS PRESIDENTES,4200.0,MCC013A,MCC013A
2026,Z2,C,MCC0,15,A,CALZ. ADOLFO LÓPEZ MATEOS -DE CALLE CALAFIA HASTA MONUMENTO GRAL. SÁNCHEZ TABOADA,4060.0,MCC015A,MCC015A
2026,Z2,C,MCC0,21,A,CALZ. FCO. L. MONTEJANO -DE CALZ. INDEPENDENCIA A CALZ. LÁZARO CÁRDENAS,6300.0,MCC021A,MCC021A
2026,Z2,C,MCC0,25,A,CALZ. ANÁHUAC -DE CALZ. DE LOS PRESIDENTES A CALZ. HECTOR TERÁN TERÁN,5180.0,MCC025A,MCC025A
2026,Z2,C,MCC0,31,A,CALZ. CASTELLÓN -DE CALZ. ANÁHUAC A CALZ. ADOLFO LÓPEZ MATEOS,2800.0,MCC031A,MCC031A
2026,Z2,C,MCC0,34,A,CALZ. INDEPENDENCIA -DE CALZ. H. COLEGIO MILITAR A CALZ. DE LOS PRESIDENTES (SONORA Y SINALOA),2800.0,MCC034A,MCC034A
2026,Z2,C,MCC0,37,A,CALLE UXMAL,2800.0,MCC037A,MCC037A
2026,Z2,C,MCC0,54,B,"AVENIDA FCO. I. MADERO -DE CALLE PEDRO F. PÉREZ Y RAMÍREZ A CALLE ""H""",8120.0,MCC054B,MCC054B
2026,Z2,C,MCC0,53,A,"AVENIDA REFORMA -DE CALLE ""H"" A CALZ. JUSTO SIERRA",7280.0,MCC053A,MCC053A
